id_number,first_name,middle_name,last_name,college,department,program,specialization,phone_number,email,parent_guardian_name,parent_guardian_number
12100017,Mason,Caleb,Pineda,Gokongwei College of Engineering,GCOE-DECE,BS Electronics Engineering,N/A,+63 917 789 0123,mason_pineda@dlsu.edu.ph,Rosario Pineda,+63 918 789 0123
12100018,Zoe,Isabelle,Tan,Gokongwei College of Engineering,GCOE-DECE,BS Electrical Engineering,N/A,+63 917 890 1234,zoe_tan@dlsu.edu.ph,Benjamin Tan,+63 918 890 1234
12100019,Aiden,Matthew,Lim,Gokongwei College of Engineering,GCOE-DECE,BS Computer Engineering,N/A,+63 917 901 2345,aiden_lim@dlsu.edu.ph,Grace Lim,+63 918 901 2345
12100020,Ella,Madison,Chua,Gokongwei College of Engineering,GCOE-DECE,BS Electronics Engineering,N/A,+63 917 012 3456,ella_chua@dlsu.edu.ph,Peter Chua,+63 918 012 3456
12100021,Jacob,Ryan,Pascual,Gokongwei College of Engineering,GCOE-DECE,BS Electrical Engineering,N/A,+63 917 123 5678,jacob_pascual@dlsu.edu.ph,Margarita Pascual,+63 918 123 5678
12100022,Lily,Samantha,De Leon,Gokongwei College of Engineering,GCOE-DECE,BS Computer Engineering,N/A,+63 917 234 6789,lily_deleon@dlsu.edu.ph,Francisco De Leon,+63 918 234 6789
12100023,Logan,Andrew,Malig,Gokongwei College of Engineering,GCOE-DECE,BS Electronics Engineering,N/A,+63 917 345 7890,logan_malig@dlsu.edu.ph,Catherine Malig,+63 918 345 7890
12100024,Grace,Olivia,Mercado,Gokongwei College of Engineering,GCOE-DECE,BS Electrical Engineering,N/A,+63 917 456 8901,grace_mercado@dlsu.edu.ph,Alberto Mercado,+63 918 456 8901
12100025,Jack,Henry,Salazar,Gokongwei College of Engineering,GCOE-DECE,BS Computer Engineering,N/A,+63 917 567 9012,jack_salazar@dlsu.edu.ph,Teresa Salazar,+63 918 567 9012
12100026,Amelia,Claire,Aguilar,Gokongwei College of Engineering,GCOE-DECE,BS Electronics Engineering,N/A,+63 917 678 0123,amelia_aguilar@dlsu.edu.ph,Danilo Aguilar,+63 918 678 0123
12100027,William,Isaac,Delos Santos,Gokongwei College of Engineering,GCOE-DECE,BS Electrical Engineering,N/A,+63 917 789 1234,william_delossantos@dlsu.edu.ph,Marianne Delos Santos,+63 918 789 1234
12100028,Harper,Faith,Ferrer,Gokongwei College of Engineering,GCOE-DECE,BS Computer Engineering,N/A,+63 917 890 2345,harper_ferrer@dlsu.edu.ph,Gregorio Ferrer,+63 918 890 2345
12100029,James,Owen,Magno,Gokongwei College of Engineering,GCOE-DECE,BS Electronics Engineering,N/A,+63 917 901 3456,james_magno@dlsu.edu.ph,Jocelyn Magno,+63 918 901 3456
12100030,Emily,Rose,Domingo,Gokongwei College of Engineering,GCOE-DECE,BS Electrical Engineering,N/A,+63 917 012 4567,emily_domingo@dlsu.edu.ph,Alfredo Domingo,+63 918 012 4567
